dealer_pct_change,average_player_pct_change,rounds_played,players,half_pay_on
21.200000,-4.240000,20000,5,-1
72.500000,-72.500000,30000,1,6
105.350000,-105.350000,30000,1,7
413.900000,-68.983333,20000,6,7
141.000000,-35.250000,20000,4,5
53.750000,-10.750000,20000,5,1
208.200000,-104.100000,30000,2,8
145.650000,-29.130000,20000,5,3
284.650000,-71.162500,20000,4,8
69.450000,-11.575000,20000,6,1
10.700000,-5.350000,30000,2,-1
270.500000,-54.100000,20000,5,5
610.900000,-87.271429,20000,7,9
363.750000,-60.625000,20000,6,5
109.750000,-15.678571,20000,7,1
106.900000,-17.816667,20000,6,10
269.650000,-38.521429,20000,7,4
186.000000,-37.200000,20000,5,4
67.650000,-9.664286,20000,7,-1
484.450000,-80.741667,20000,6,6
120.300000,-17.185714,20000,7,3
140.550000,-35.137500,20000,4,3
50.950000,-50.950000,30000,1,2
130.800000,-130.800000,30000,1,9
51.600000,-8.600000,20000,6,0
183.800000,-26.257143,20000,7,2
52.300000,-26.150000,30000,2,1
-24.800000,12.400000,30000,2,10
78.150000,-13.025000,20000,6,-1
43.200000,-21.600000,30000,2,2
247.750000,-123.875000,30000,2,9
222.950000,-37.158333,20000,6,3
271.550000,-90.516667,30000,3,5
-7.950000,2.650000,30000,3,-1
45.350000,-6.478571,20000,7,0
39.950000,-19.975000,30000,2,0
172.200000,-57.400000,30000,3,4
163.850000,-163.850000,40000,1,8
-8.300000,2.766667,30000,3,0
168.950000,-84.475000,30000,2,7
356.300000,-118.766667,30000,3,8
-44.300000,14.766667,30000,3,10
396.800000,-132.266667,30000,3,9
323.850000,-107.950000,30000,3,7
-1.600000,1.600000,40000,1,10
55.700000,-55.700000,40000,1,3
105.650000,-35.216667,30000,3,3
32.950000,-8.237500,30000,4,2
29.000000,-29.000000,40000,1,0
101.750000,-101.750000,40000,1,5
96.150000,-96.150000,40000,1,4
276.850000,-92.283333,30000,3,6
211.350000,-105.675000,30000,2,5
138.500000,-69.250000,30000,2,4
598.750000,-119.750000,30000,5,7
397.850000,-79.570000,30000,5,6
141.850000,-70.925000,30000,2,6
71.900000,-35.950000,40000,2,2
16.450000,-5.483333,30000,3,1
32.950000,-32.950000,40000,1,-1
731.950000,-146.390000,30000,5,9
97.300000,-24.325000,30000,4,1
31.450000,-31.450000,40000,1,1
88.500000,-29.500000,30000,3,2
333.700000,-166.850000,40000,2,8
370.750000,-92.687500,30000,4,6
125.000000,-62.500000,30000,2,3
135.450000,-27.090000,30000,5,2
105.100000,-17.516667,30000,6,2
727.600000,-121.266667,30000,6,9
422.600000,-70.433333,30000,6,4
157.000000,-157.000000,40000,1,7
179.100000,-179.100000,40000,1,9
