dealer_pct_change,average_player_pct_change,rounds_played,players,half_pay_on
62.750000,-62.750000,30000,1,4
481.600000,-96.320000,20000,5,9
167.300000,-83.650000,30000,2,3
70.700000,-70.700000,30000,1,6
241.900000,-34.557143,20000,7,3
276.450000,-46.075000,20000,6,6
151.050000,-25.175000,20000,6,-1
298.050000,-49.675000,20000,6,5
172.150000,-34.430000,20000,5,3
7.400000,-3.700000,30000,2,-1
198.300000,-33.050000,20000,6,3
-0.100000,0.100000,30000,1,1
78.750000,-15.750000,20000,5,1
274.150000,-91.383333,30000,3,7
98.800000,-14.114286,20000,7,0
22.850000,-22.850000,30000,1,3
72.550000,-14.510000,30000,5,0
197.100000,-98.550000,30000,2,7
43.400000,-14.466667,30000,3,1
540.000000,-77.142857,20000,7,8
108.950000,-108.950000,40000,1,5
127.400000,-18.200000,20000,7,-1
23.900000,-7.966667,30000,3,-1
232.750000,-77.583333,30000,3,5
82.650000,-27.550000,30000,3,2
156.050000,-78.025000,30000,2,4
434.850000,-144.950000,30000,3,9
13.250000,-6.625000,30000,2,1
90.900000,-30.300000,30000,3,0
231.500000,-77.166667,30000,3,4
235.400000,-117.700000,30000,2,6
314.300000,-157.150000,30000,2,9
51.300000,-25.650000,30000,2,2
171.100000,-42.775000,30000,4,3
35.500000,-17.750000,30000,2,0
243.800000,-121.900000,30000,2,8
236.850000,-59.212500,30000,4,4
69.650000,-17.412500,30000,4,1
353.700000,-88.425000,30000,4,5
176.000000,-176.000000,40000,1,9
355.800000,-88.950000,30000,4,6
55.850000,-55.850000,40000,1,2
97.200000,-97.200000,40000,1,6
29.650000,-29.650000,40000,1,0
158.100000,-158.100000,40000,1,7
212.350000,-106.175000,40000,2,5
520.350000,-104.070000,30000,5,5
122.650000,-40.883333,30000,3,3
37.050000,-37.050000,40000,1,-1
427.800000,-106.950000,30000,4,7
512.600000,-170.866667,40000,3,8
99.150000,-24.787500,30000,4,0
195.500000,-97.750000,40000,2,3
122.550000,-30.637500,30000,4,2
372.400000,-74.480000,30000,5,4
6.700000,-6.700000,40000,1,1
89.250000,-89.250000,40000,1,4
471.950000,-94.390000,30000,5,7
63.050000,-15.762500,30000,4,-1
835.250000,-119.321429,30000,7,7
644.000000,-107.333333,30000,6,9
191.450000,-27.350000,30000,7,2
52.300000,-52.300000,40000,1,3
485.400000,-121.350000,30000,4,8
473.250000,-118.312500,30000,4,9
161.650000,-161.650000,40000,1,8
512.800000,-85.466667,30000,6,7
502.750000,-71.821429,30000,7,5
102.800000,-20.560000,30000,5,-1
719.150000,-119.858333,30000,6,8
164.600000,-32.920000,30000,5,2
312.550000,-104.183333,40000,3,6
667.400000,-133.480000,30000,5,8
290.350000,-145.175000,40000,2,7
136.100000,-19.442857,30000,7,1
134.500000,-134.500000,50000,1,5
14.350000,-7.175000,40000,2,-1
423.950000,-84.790000,30000,5,6
412.250000,-68.708333,30000,6,4
556.550000,-185.516667,40000,3,9
288.850000,-48.141667,30000,6,0
415.550000,-207.775000,40000,2,9
303.000000,-50.500000,30000,6,2
310.250000,-155.125000,40000,2,6
142.900000,-23.816667,30000,6,1
306.650000,-102.216667,40000,3,4
90.750000,-45.375000,40000,2,2
549.000000,-78.428571,30000,7,4
70.000000,-70.000000,50000,1,2
752.450000,-107.492857,30000,7,6
501.400000,-83.566667,30000,6,5
218.800000,-43.760000,30000,5,3
313.250000,-156.625000,40000,2,8
991.150000,-141.592857,30000,7,9
322.950000,-107.650000,40000,3,5
182.750000,-30.458333,30000,6,-1
392.800000,-56.114286,30000,7,3
161.600000,-80.800000,40000,2,4
35.150000,-17.575000,40000,2,1
125.150000,-125.150000,50000,1,6
636.250000,-127.250000,30000,5,9
44.850000,-14.950000,40000,3,1
315.150000,-52.525000,30000,6,3
227.250000,-227.250000,50000,1,9
193.600000,-27.657143,30000,7,-1
43.150000,-43.150000,50000,1,-1
26.950000,-8.983333,40000,3,-1
177.600000,-177.600000,50000,1,7
826.750000,-118.107143,30000,7,8
361.600000,-120.533333,40000,3,7
86.900000,-28.966667,40000,3,0
51.250000,-12.812500,40000,4,1
396.050000,-99.012500,40000,4,5
63.700000,-9.100000,30000,7,0
115.950000,-38.650000,40000,3,2
459.950000,-76.658333,30000,6,6
266.350000,-133.175000,50000,2,5
140.400000,-28.080000,40000,5,0
63.050000,-12.610000,30000,5,1
474.850000,-118.712500,40000,4,6
104.900000,-104.900000,50000,1,4
56.900000,-28.450000,40000,2,0
72.450000,-18.112500,40000,4,0
644.100000,-214.700000,50000,3,8
241.650000,-60.412500,40000,4,3
299.450000,-74.862500,40000,4,4
206.000000,-206.000000,50000,1,8
606.950000,-151.737500,40000,4,7
